번호,제목,담당부서,보도일,첨부파일,첨부파일내용 미리보기,상세페이지URL,내용,문제유형,파싱된보도일,원본보도일
743,250221_(보도자료) ‘퇴직연금 실물이전 서비스’로 적립금 2.4조원이 편리하게 이전되었습니다,연금감독실,2024.10.31,"250221_(보도자료) ‘퇴직연금 실물이전 서비스’로 적립금 2.4조원이 편리하게 이전되었습니다.hwpx (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=c26449a1dc194c9f95edbb7d476d2df4&fileSn=1&bbsId=), 250221_(보도자료) ‘퇴직연금 실물이전 서비스’로 적립금 2.4조원이 편리하게 이전되었습니다.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=c26449a1dc194c9f95edbb7d476d2df4&fileSn=2&bbsId=)","용 그림입니다. 원본 그림의 이름: CI.jpg 원본 그림의 크기: 가로 677pixel, 세로 970pixel 사진 찍은 날짜: 2008년 05월 26일 오후 11:00 프로그램 이름 : Adobe Photoshop CS Windows 색 대표 : sRGB 보도자료 그림입니다. 원본 그림의 이름: 다시 대한민국! 새로운 국민의 나라.png 원본 그림의 크",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=191376&menuNo=200218&pageIndex=75,"퇴직연금 ‘실물이전 서비스’가 개시된(’24.10.31.) 이후 3개월(’25.1.31. 까지)동안 적립금 약 2.4조원, 3.9만건이 동 서비스를 통해 이전된 것으로 나타났다. 실물이전이란 퇴직연금 가입자가 계좌 내 운용 중이던 상품을 매도(해지)하지 않고 다른 퇴직연금 사업자의 계좌로 옮기는 것을 말한다.
특히, 이전된 적립금(2.4조원) 중 약 1.8조원(75.3%)은 계좌 내 운용 중이던 상품이 그대로 이전*된 것으로 나타나 실물이전 서비스 도입으로 가입자는 본인에게 적합한 퇴직연금 사업자로 손쉽게 이전할 수 있는 등 선택권이 확대되었다고 평가된다.
* 나머지 0.6조원(24.7%)은 실물이전 불가 사유(수관회사와 이관회사간에 제공하는 상품이 상이한 경우 등)로 상품 매도 또는 해지를 통해 현금화되어 이전
이러한 실물이전 서비스를 통해 가입자는 기존 상품의 매도(해지)에 따른 비용(중도해지 금리 등)이나 펀드 환매 후 재매수 과정에서 금융시장 상황 변화로 인한 손실(기회비용) 등을 최소화할 수 있다.
궁극적으로는 퇴직연금 사업자 간 서비스 기반의 건전한 경쟁이 촉진되어 향후 퇴직연금의 수익률 개선에도 기여할 것으로 기대된다.
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.",보도일이 2025년 이전 (2024-10-31),2024-10-31,
807,보험판매채널이 소비자를 최우선할 수 있도록 불완전판매에 대한 책임강화와 내부통제 구축을 추진합니다.,보험감독국,2024.1.21,"250121_(보도자료) 보험판매채널이 소비자를 최우선할 수 있도록 불완전판매에 대한 책임강화와 내부통제 구축을 추진합니다..hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=d08d468a3fc54aafb47f5463070ec986&fileSn=1&bbsId=), 250121_(보도자료) 보험판매채널이 소비자를 최우선할 수 있도록 불완전판매에 대한 책임강화와 내부통제 구축을 추진합니다..pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=d08d468a3fc54aafb47f5463070ec986&fileSn=2&bbsId=)",<><보도자료><> <보도시점><2025. 1. 22.(수) 석간 ><배포><2024.1.21.(화) 15:00> < 보험판매채널이 소비자를 최우선할 수 있도록 불완전판매에 대한 책임강화와 내부통제 구축을 추진합니다.> <◈ 제6차 보험개혁회의에서 「보험 판매채널 책임성 강화방안」 논의 ➊ 보험회사의 GA 관리책임 규율화 및 금융당국의 평가체계 마련(미흡시,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=190211&menuNo=200218&pageIndex=81,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-01-21),2024-01-21,
809,「신뢰회복」과 「혁신」을 위한 6차 「보험개혁회의」 개최,보험감독국,2024.1.20,"250120_(보도자료)「신뢰회복」과 「혁신」을 위한 6차 「보험개혁회의」 개최.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=645ed471f24543a1bbd2626e9622d059&fileSn=1&bbsId=), 250120_(보도자료)「신뢰회복」과 「혁신」을 위한 6차 「보험개혁회의」 개최.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=645ed471f24543a1bbd2626e9622d059&fileSn=2&bbsId=), 250120_(붙임)보험산업현안과제.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=645ed471f24543a1bbd2626e9622d059&fileSn=3&bbsId=)",<><보도자료><> <보도시점><2025. 1. 21.(화) 14:00 ><배포><2024.1.20.(월) 15:00> < ｢신뢰회복｣과 ｢혁신｣을 위한 6차 ｢보험개혁회의｣ 개최 > <◈ 첫 번째 안건인 보험산업 현안과제의 경우 다음의 현안 논의 ➊ 19년만에 금융기관보험대리점(방카슈랑스) 판매비중 규제개선 추진 ➋ 보험계약대출에 대한 우대금리체계 도입(,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=190194&menuNo=200218&pageIndex=81,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-01-20),2024-01-20,
813,토지신탁 내실화를 위한 금융투자업규정 개정안 규정변경예고,자산운용감독국,2024.11.14,"250120_(보도자료) 토지신탁 내실화를 위한 금융투자업규정 개정안 규정변경예고.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=f7f1233199f64ddfbda71b694fe987ef&fileSn=1&bbsId=), 250120_(보도자료) 토지신탁 내실화를 위한 금융투자업규정 개정안 규정변경예고.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=f7f1233199f64ddfbda71b694fe987ef&fileSn=2&bbsId=)","<광부><보도자료><> <보도시점><2025. 1. 21.(화) 조간><배포><2025. 1. 20.(월) 09:00> <토지신탁 내실화를 위한 금융투자업규정 개정안 규정변경예고> <√ 개정안 주요 내용은 ➊책임준공형 토지신탁의 실질위험을 반영토록 NCR 산정기준을 정비하고, ➋자기자본 대비 토지신탁 위험액 한도를 도입하는 것이다. √ 토지신탁 규모 증가 ",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=190147&menuNo=200218&pageIndex=82,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-11-14),2024-11-14,
817,2024년 12월 외국인 증권투자 동향,자본시장감독국,2024.1.17,"250117_(보도자료) 2024년 12월 외국인 증권투자 동향.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=ee664d579f4a4f5aa2aab61091078c5e&fileSn=1&bbsId=), 250117_(보도자료) 2024년 12월 외국인 증권투자 동향.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=ee664d579f4a4f5aa2aab61091078c5e&fileSn=2&bbsId=)",<><보 도 자 료><> <><><><> <보도><2024.1.17.(금) 석간><배포><2024.1.16.(목)> <><><><> <담당부서><자본시장감독국 증권거래감독팀><책임자><팀 장><김용진><(02-3145-7590)><담당자><조사역><황진희><(02-3145-7608)> <><><><> <2024년 12월 외국인 증권투자 동향> <〔주요 내용,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=190030&menuNo=200218&pageIndex=82,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-01-17),2024-01-17,
823,혁신금융서비스 45건을 신규 지정하였습니다,디지털금융총괄국/전자금융감독국/외환감독국,2024. 1. 15,"250115_(보도자료) 혁신금융서비스 45건을 신규 지정하였습니다..hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=47b1480afce24d3994eb7e37aeda2891&fileSn=1&bbsId=), 250115_(보도자료) 혁신금융서비스 45건을 신규 지정하였습니다..pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=47b1480afce24d3994eb7e37aeda2891&fileSn=2&bbsId=)",< 금융위원회><보도자료><> <보도시점><배포시><배포><2024. 1. 15.(수)> <혁신금융서비스 45건을 신규 지정하였습니다. > <- ‘방한 외국인의 간편한 선불전자지급수단 사용 및 환급 서비스’ 등 신규지정 45건> 금융위원회는 1월 15일 제2차 회의에서「방한 외국인의 간편한 선불전자지급수단 사용 및 환급서비스」등 45건의 혁신금융서비스를 신,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189892&menuNo=200218&pageIndex=83,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-01-15),2024-01-15,
824,"대형 금융투자회사,보험회사에 대해 책무구조도 시범운영을 실시합니다.",감독총괄국,2024.7.3,"250115_(보도자료) 대형 금융투자회사·보험회사에 대해 책무구조도 시범운영을 실시합니다..hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=28e4a3dafb40445d8bff1d71e402e952&fileSn=1&bbsId=), 250115_(보도자료) 대형 금융투자회사·보험회사에 대해 책무구조도 시범운영을 실시합니다..pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=28e4a3dafb40445d8bff1d71e402e952&fileSn=2&bbsId=)", <><보도자료><> <보도시점><배포 시 부터><배포><2025. 1. 15.(수) 금융위 정례회의 이후> <대형 금융투자회사·보험회사에 대해 책무구조도 시범운영을 실시합니다.> <󰋼 은행·금융지주회사에 이어 대형 금융투자회사·보험회사가 책무구조도에 기반한 내부통제 관리체계를 조기 도입‧운영할 수 있도록 컨설팅 및 관련 제재 비조치 등 인센티브를 부여하는,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189886&menuNo=200218&pageIndex=83,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-07-03),2024-07-03,
839,"회계,감사 지배구조가 우수한 기업에 대해 감사인 주기적 지정을 3년간 유예합니다.",회계감독국,2024.12.31,"241231 (보도자료) 회계, 감사 지배구조가 우수한 기업에 대해 감사인 주기적 지정을 3년간 유예합니다..hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=daff56df9a8e440ba5c1477f6f882d52&fileSn=1&bbsId=), 241231 (보도자료) 회계, 감사 지배구조가 우수한 기업에 대해 감사인 주기적 지정을 3년간 유예합니다..pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=daff56df9a8e440ba5c1477f6f882d52&fileSn=2&bbsId=)", <><보도자료><> <보도시점>< 2024.12.31.(화) 석간><배포><2024.12.30.(월) 10:00> <회계·감사 지배구조가 우수한 기업에 대해 감사인 주기적 지정을 3년간 유예합니다. - 회계‧감사 지배구조 개선 유도를 통한 회계투명성 제고 목적 - 5대 분야 17개 항목으로 구성된 우수기업 선정기준 마련> <◇ 회계‧감사 관련 지배구조 우,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189429&menuNo=200218&pageIndex=84,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-31),2024-12-31,
840,"금융소비자의 권익 제고 및 민원 예방을 위해 보험상품 표준약관,표준사업방법서가 개정됩니다.",상품심사판매분석국,2024. 12. 31,"241231 (보도자료) 금융소비자의 권익 제고 및 민원 예방을 위해 보험상품 표준약관,표준사업방법서가 개정됩니다..hwpx (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=6a35cb5d5738453a996621c99aa16297&fileSn=1&bbsId=), 241231 (보도자료) 금융소비자의 권익 제고 및 민원 예방을 위해 보험상품 표준약관,표준사업방법서가 개정됩니다..pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=6a35cb5d5738453a996621c99aa16297&fileSn=2&bbsId=)","그림입니다. 원본 그림의 이름: CI.jpg 원본 그림의 크기: 가로 677pixel, 세로 970pixel 사진 찍은 날짜: 2008년 05월 26일 오후 11:00 프로그램 이름 : Adobe Photoshop CS Windows 색 대표 : sRGB 보 도 참 고 그림입니다. 원본 그림의 이름: CLP00002cd0b199.bmp 원본 그림의 크기: ",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189406&menuNo=200218&pageIndex=85,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-31),2024-12-31,
841,금융감독원은 자본시장 선진화 과제를흔들림 없이 추진하겠습니다.,기업공시국/자본시장감독국/자산운용감독국/법무실/공시심사실/회계감독국/공매도특별조사단,2024.12.31,"241231_기업공시국_(보도자료) 금융감독원은 자본시장 선진화 과제를 흔들림 없이 추진하겠습니다_F.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=76755b3611cd4abf8af025dd123970e9&fileSn=1&bbsId=), 241231_기업공시국_(보도자료) 금융감독원은 자본시장 선진화 과제를 흔들림 없이 추진하겠습니다_F.hwpx (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=76755b3611cd4abf8af025dd123970e9&fileSn=2&bbsId=)","그림입니다. 원본 그림의 이름: CI.jpg 원본 그림의 크기: 가로 677pixel, 세로 970pixel 사진 찍은 날짜: 2008년 05월 26일 오후 11:00 프로그램 이름 : Adobe Photoshop CS Windows 색 대표 : sRGB 보 도 자 료 그림입니다. 원본 그림의 이름: CLP00002cd0b199.bmp 원본 그림의 크기: ",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189407&menuNo=200218&pageIndex=85,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-31),2024-12-31,
842,지속가능성 공시 전문가 간담회 개최,기업공시국,2024.12.30,"241230 (보도자료) 지속가능성 공시 전문가 간담회 개최.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=7f665a03477f4b57bd73b9c846c0f5ff&fileSn=1&bbsId=), 241230 (보도자료) 지속가능성 공시 전문가 간담회 개최.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=7f665a03477f4b57bd73b9c846c0f5ff&fileSn=2&bbsId=)","<광부><보도자료><> <보도시점><2024. 12. 30.(월) 11:30><배포><2024. 12. 30.(월) 10:00> <지속가능성 공시 전문가 간담회 개최 > <- 지속가능성 공시 관련 전문가 간담회를 개최하여 주요국 동향을 점검하고, 기업의 불확실성 해소를 위해 향후 추진일정과 지원방안을 논의 - 전문가들은 국제적으로도 공시제도가 아직 확정되지",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189404&menuNo=200218&pageIndex=85,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-30),2024-12-30,
843,무안 제주항공 사고에 대해 신속한 보험금 지급 등 지원체계 구축,보험감독국,2024.12.29,"241229 (보도참고) 무안 제주항공 사고 관련 보험가입현황 및 대응방안.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=23979d42774940998c8ac32e5e9eae2e&fileSn=1&bbsId=), 241229 (보도참고) 무안 제주항공 사고 관련 보험가입현황 및 대응방안.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=23979d42774940998c8ac32e5e9eae2e&fileSn=2&bbsId=)",<><보도참고자료><> <보도시점><배포시><배포><2024.12.29.(일)> <무안 제주항공 사고에 대해 신속한 보험금 지급 등 지원체계 구축> 금융당국은 금일(‘24.12.29.) 오전 무안국제공항에서 발생한 제주항공 항공기 사고와 관련하여 피해자 보호에 만전을 기하기 위해 신속히 보험가입 현황을 파악하고 지원체계를 구축하였다. 사고 항공기는 총 10,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189401&menuNo=200218&pageIndex=85,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-29),2024-12-29,
844,2024년 상반기 대부업 실태조사 결과,민생침해대응총괄국,2024.12.30,"241230 (보도자료) 석간_2024년 상반기 대부업 실태조사 결과.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=36bf4336f6074daab77427cb598f2caa&fileSn=1&bbsId=), 241230 (보도자료) 석간_2024년 상반기 대부업 실태조사 결과.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=36bf4336f6074daab77427cb598f2caa&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.12.30.(월) 석간><배포><2024.12.27.(금)> <> <담당부서><민생침해대응총괄국 대부업감독팀><책임자><팀 장><박운규><(02-3145-8288)><담당자><선임조사역><변나혜><(02-3145-8261)> <> <2024년 상반기 대부업 실태조사 결과> <주요 내용 □ 금융감독원은 금융위원,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189395&menuNo=200218&pageIndex=85,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-30),2024-12-30,
845,'24년 3분기 중 증권회사 파생결합증권 발행 운용 현황,자본시장감독국,2024.12.30,"241230 (보도자료) 석간_24년 3분기 중 증권회사 파생결합증권 발행 운용 현황.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=9bc59dd6ec4d497f9a8fca36c939b013&fileSn=1&bbsId=), 241230 (보도자료) 석간_24년 3분기 중 증권회사 파생결합증권 발행 운용 현황.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=9bc59dd6ec4d497f9a8fca36c939b013&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.12.30.(월) 석간><배포><2024.12.27.(금)> <> <담당부서><자본시장감독국 파생상품시장팀><책임자><팀 장><박성영><(02-3145-7600)><담당자><조사역><나윤빈><(02-3145-7613)> <> <'24년 3분기 중 증권회사 파생결합증권 발행ㆍ운용 현황> <□ ‘24년 3분기 중,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189396&menuNo=200218&pageIndex=85,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-30),2024-12-30,
846,「개인연체채권 매입펀드」 신청기간 6개월 연장,감독총괄국,2024.12.30,241227(보도자료) 「개인연체채권 매입펀드」 신청기간 6개월 연장.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=ad2ff0a98dd5489facfd0c2bb18aa234&fileSn=1&bbsId=)," <><보도 자료><> <보도시점>< 2024.12.30.(월) 조간><배포><2024.12.27.(금) 16:00> <「개인연체채권 매입펀드」 신청기간 6개월 연장 - 경제상황 등을 감안하여 ‘25년 상반기까지 연장 -> 1. 추진 경과 □ 금융위원회, 全금융권 및 관계기관은 코로나19 영향으로 발생한 개인연체채권에 대해, * [10개 금융협회] 은행, ",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189387&menuNo=200218&pageIndex=85,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-30),2024-12-30,
847,"고인(故人)의 상조상품 가입여부, 안심상속 원스톱 서비스로 확인 가능해진다",금융민원국,2024. 12. 29,"241230 (보도자료) 조간_고인(故人)의 상조상품 가입여부, 안심상속 원스톱 서비스로 확인 가능해진다.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=06c22afc4f3c45cfa6a45ada96a83dde&fileSn=1&bbsId=), 241230 (보도자료) 조간_고인(故人)의 상조상품 가입여부, 안심상속 원스톱 서비스로 확인 가능해진다.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=06c22afc4f3c45cfa6a45ada96a83dde&fileSn=2&bbsId=)","<><보도자료>< > <보도시점><(온라인) 2024. 12. 29.(일) 12:00><(지 면) 2024. 12. 30.(월) 조간> <고인(故人)의 상조상품 가입여부, ‘안심상속 원스톱 서비스’로 확인 가능해진다> <- 유족들이 고인의 상조상품 가입여부를 한 번에 확인할 수 있도록 ‘안심상속 원스톱 서비스’ 및 ‘상속인 금융거래 조회서비스’ 조회범위 확",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189386&menuNo=200218&pageIndex=85,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-29),2024-12-29,
848,서울특별시 거주 청년에 대한 금융교육을 적극 지원하겠습니다,금융교육국,2024.12.30,"241230 (보도자료) 서울특별시 거주 청년에 대한 금융교육을 적극 지원하겠습니다..hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=c14ffc375ea9430d9a3b4f8277fe4b3f&fileSn=1&bbsId=), 241230 (보도자료) 서울특별시 거주 청년에 대한 금융교육을 적극 지원하겠습니다..pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=c14ffc375ea9430d9a3b4f8277fe4b3f&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><(지 면) 2024.12.30.(월) 조간 (온라인) 2024.12.29.(일) 11:15><배포><2024.12.27.(금)> <> <담당부서><금융교육국 금융교육기획팀><책임자><국 장><이석주><(02-3145-5970)><담당자><팀 장><신동호><(02-3145-5972)><서울특별시 미래청년기획관><책임자>,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189385&menuNo=200218&pageIndex=85,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-30),2024-12-30,
849,배당절차 및 기업공시 제도개선을 위한 자본시장법 개정,기업공시국,2024.12.27,241227(보도참고) 배당절차 및 기업공시 제도개선을 위한 자본시장법 개정.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=43a680c017d44c668c17ed6a60733daa&fileSn=1&bbsId=)," <><보도참고자료><> <보도시점>< 배포 시><배포><2024.12.27.(금)> <배당절차 및 기업공시 제도개선을 위한 자본시장법 개정 - 「자본시장과 금융투자업에 관한 법률」 개정안, 국회 본회의 통과 -> < [배당절차 개선] √ 결산배당*에 이어 분기배당에 있어서도 “깜깜이 배당” 문제를 해소하기 위해 관련 절차 개선** → 투자자가 분기배당액을",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=189372&menuNo=200218&pageIndex=85,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-12-27),2024-12-27,
